condition,symptoms,causes,warnings,recommendations
Ewing sarcoma,the symptoms of ewing sarcoma will depend on the size of the cancer and where it is in the body the main symptoms are pain in the affected area that gets progressively worse and swelling and tenderness other possible but less common symptoms may include a high temperature fever severe tiredness and weight loss in some cases of ewing sarcoma there may not be any symptoms at all however as the tumour grows it could weaken the affected bone increasing the risk of fracture,"Like other types of bone cancer, the exact cause of Ewing sarcoma is unknown. As the condition tends to predominantly affect older children and teenagers, one theory is that it may be related to fast-growing bones. The rapid growth spurt that happens during puberty may in some way make bone tissue more vulnerable to cancer. Research has also found babies born with an umbilical hernia are 3 times more likely to develop Ewing sarcoma. However, the increased risk is still small as only 1 in 110,000 children with an umbilical hernia will go on to develop the condition. TheCancer Research UKwebsite has more information about therisks and causes of bone cancer.",,"Like all types of cancer, the earlier Ewing sarcoma is diagnosed, the easier it is to treat. Ewing sarcoma is usually treated with a combination ofchemotherapy, surgery and radiotherapy. Chemotherapy may be used before surgery to shrink the tumour and make it easier to remove. Ewing sarcoma also responds well toradiotherapy. It can be used to shrink the tumour after chemotherapy, and before or after surgery to lower the risk of the cancer returning. In some cases, surgically removing Ewing’s sarcoma can be difficult – for example, if it develops in the pelvis. In this case, radiotherapy may be used as the main treatment. If surgery is recommended, the type you’ll have will depend on: You may have surgery to remove part or all of the bone affected by cancer. This type of surgery is known as resection. Limb-sparing surgery involves removing the area of bone on an arm or leg where the cancer is growing. A piece of metal (prosthesis) or a bone graft will be used to replace the piece of bone that is removed. In some cases, your whole arm or leg may need to be removed (amputation). This may be the only option to prevent the cancer returning if it’s spread into the tissues surrounding the bone. For more information about thetypes of treatment for bone cancer, visit the Cancer Research UK website."
Ewing sarcoma: Children,pain is the most common symptom of bone cancer it is frequently worse at night however symptoms may vary depending on the position and size of the cancer there may be some swelling in the affected area if the tumour is close to the surface of the body and it may become tender to touch this may cause a limp if in the leg or pelvis bone cancer is sometimes discovered when a bone that has been weakened by cancer breaks after the child has a minor fall or accident occasionally there may be fever or weight loss,"The exact causes of primary bone cancer are unknown. The development of Ewing sarcoma may be related in some way to times of rapid bone growth, which may explain why more cases are seen in teenagers. Like other cancers, it’s not infectious and cannot be passed on to other people.",,"A combination of various treatments is used to treat Ewing sarcoma. These include chemotherapy, surgery and radiotherapy. Treatment will depend on a number of factors, including the size and position of the tumour. Chemotherapy is the use of anti-cancer (cytotoxic) drugs to destroy cancer cells. This is a very important component of treatment for the majority of children with Ewing sarcoma and can help make surgery more straightforward. A combination of different chemotherapy drugs are given before surgery and continued afterwards in order to destroy any remaining cancer cells and prevent the sarcoma from spreading. Chemotherapy given in this way is called adjuvant chemotherapy. If surgery is needed, it should be carried out at a specialist orthopaedic bone tumour centre. The aim of surgery is to remove the tumour without causing too much damage. If the tumour is in one of the main bones of the arm or leg, it may be necessary to remove the whole limb (amputation) or part of the affected bone. If only part of the affected bone is removed, this is known as limb-sparing surgery. Sometimes amputation of the limb is unavoidable if the cancer has affected the surrounding blood vessels and nerves. After amputation, a false limb will be fitted, and this will be regularly adjusted as your child grows. False limbs work very well. It should be possible for your child to join in with normal activities and even sport. There are several ways in which limb-sparing surgery may be done. It may involve: After limb-sparing surgery, the child is often able to use the limb almost normally. However, it is best not to take part in any contact sports, because any damage to the bone graft or prosthesis may require another major operation to repair or replace it. If the child is growing, the limb prosthesis will need to be lengthened from time to time as the bone grows. This may mean further short stays in hospital, although some prostheses can be lengthened during an outpatient procedure. Radiotherapy treats cancer by using high energy rays that destroy cancer cells while doing as little harm as possible to normal cells. Ewing sarcoma responds very well to radiotherapy. It’s often used after chemotherapy and before or after surgery. If the tumour is impossible to remove surgically, it’s a good option. Treatment often causesside effects. Your child’s doctor will discuss this with you before the treatment starts. Any possible side effects will depend on the actual treatment being used and the part of the body that’s being treated. Side effects can include: Radiotherapycan cause irritation or soreness of the skin in the area being treated and general tiredness. If your child is having surgery, the surgeon will explain the possible complications of the surgery that your child is having. A small number of children may develop other side effects, sometimes many years later. These include a reduction in normal bone growth, reduced fertility, a change in heart function, and a small increase in the risk of developing a second cancer later in life. Your child’s doctor or nurse will explain all of this to you and will monitor your child carefully for any potential late side effects. Many children have their treatment as part of a clinical research trial. Trials aim to improve our understanding of the best way to treat an illness, usually by comparing the standard treatment with a new or modified version. Specialist doctors carry out trials for children’s cancers. If appropriate, your child’s medical team will talk to you about taking part in a clinical trial, and will answer any questions you have. Written information will be provided to help explain things. Sometimes, clinical trials are not available for your child’s tumour. This may be because a recent trial has just finished, or because the tumour is very rare. In these cases, you can expect your doctors and nurses to offer treatment which is agreed to be the most appropriate, using guidelines which have been prepared by experts across the country. TheChildren’s Cancer and Leukaemia Group(CCLG) is an important organisation which helps to produce these guidelines. Your child will have regular follow-up appointments, with x-rays or scans as necessary. Many children with Ewing sarcoma can be cured. Even if the tumour comes back, further treatment may be given successfully. Your child will be checked up on every few months for the first 3 years after treatment and then every 6 months for another 2 years. If you have specific concerns about your child’s condition and treatment, it’s best to discuss them with your child’s doctor who knows the situation in detail. As a parent, the fact that your child has cancer is one of the worst situations you can be faced with. You may have many emotions, such as fear, guilt, sadness, anger and uncertainty. These are all normal reactions and are part of the process that many parents go through at such a difficult time. Your child may have a variety of powerful emotions throughout their experience with cancer. Further information and advice if your child has cancer"
Eye cancer,eye cancer doesn t always cause obvious symptoms and may only be picked up during a routine eye test symptoms of eye cancer can include these symptoms can also be caused by more minor eye conditions so they re not necessarily a sign of cancer however it s important to get the symptoms checked by a doctor as soon as possible,"Eye melanoma occurs when the pigment-producing cells in the eyes divide and multiply too rapidly. This produces a lump of tissue known as a tumour. It’s not clear exactly why this occurs, but the following factors may increase the risk of it happening: The risk of developing eye melanoma also increases with age, with most cases being diagnosed in people in their fifties.",,"Treatment for melanoma of the eye depends on the size and location of the tumour. Your care team will explain each treatment option in detail, including the benefits and any potential complications. Treatment will aim to conserve the affected eye whenever possible. The main treatments for eye melanoma are: Chemotherapyis rarely used for eye melanoma, but may be suitable for other types of eye cancer. Cancer Research UK has more information about thetreatment options for eye cancerand the types ofeye cancer surgery."
Facioscapulohumeral muscular dystrophy (FSHD),symptoms of fshd in children might include older children and adults might have rounded shoulders and thin weak upper arms this can cause pain in the shoulders and back in adulthood fshd usually affects the in over half of those with fshd there can be weakness at the knees hips and back this can cause a backward leaning and high stepping style of walking sometimes there can be a different change in posture with a tendency to bend forwards rather than backwards the earlier in life someone has fshd symptoms the more severe their symptoms will eventually be men and those assigned male at birth tend to experience more severe weakness and will have symptoms from a younger age than women and those assigned female at birth the condition can develop unevenly asymmetrically one side of the body might be affected more than the other about 10 20 of people with fshd eventually require a wheelchair people with fshd can often experience pain some people with fshd will develop hearing loss this is more common in people who develop fshd during childhood,"FSHD is a dominant inherited muscular dystrophy. If you have a dominant inherited MD, you only need to inherit the altered gene from one parent to be affected. This means, if you have a child with someone who doesn’t have MD there’s still a 1 in 2 chance your child will develop the condition. Most of the time, FSHD is inherited from either parent. Occasionally, someone with FSHD, especially if it was diagnosed in early childhood, may not have inherited it from either parent. This means it could be caused by a novel (new) mutation. However, it could be that the symptoms of a family member were very mild or they’d been misdiagnosed. Children who inherit the faulty gene are likely to start experiencing symptoms from a similar age as their parent did. There will be some families where those with the condition will continue to be affected severely or where it will always be mild. Read more about the causes of FSHD",,"There’s no cure for FSHD and there are no specific drug treatments. Regular exercise and hydrotherapy can help to maintain muscle function for as long as possible. Try to eat a healthy balanced diet and maintain a healthy weight. This will help to reduce stress on the already weakened muscles. Using orthoses (devices that support the feet) can help people with FSHD. They can improve FSHD symptoms like foot drop and shoulder weakness. FSHD can cause the scapular muscles, which attach the shoulder blades to your chest, to become weak. This can make lifting your arms difficult. There’s an operation called scapular fixation which fixes the shoulder blades to the ribs at the back. This can help some people with FSHD to regain some more use of their arms. If your eyes become dry and inflamed and you can’t close them at night, you might be offered surgery to bring the eyelids closer. This option would be considered if artificial tears are not helping. It’s common to experience pain as part of your symptoms of FSHD. You might be prescribed painkillers to help manage your pain."
Febrile seizures,the main symptom of a febrile seizure is a fit that occurs while a child has a fever febrile seizures often occur during the first day of a fever which is defined as a high temperature of 38c 100 4f or above however there appears to be no connection between the extent of your child s fever and the start of a seizure seizures can occur even if your child has a mild fever simple febrile seizurescan happen when there s a rapid rise in temperature and you may only realise your child is ill when they have a fit alternatively they can occur as your child s temperature drops from a high level during simple febrile seizures complex febrile seizurestend to last longer than 15 minutes and the symptoms may only affect one area of your child s body the seizure sometimes recurs within 24 hours or during the period in which your child is ill,"Febrile seizures are linked to fevers, but the exact cause is unknown. Some researchers think that the biological processes associated with a high temperature may be responsible. A high temperature is thought to be caused by a bacterial or viral infection that stimulates the release of cytokines. Cytokines are proteins that affect the parts of the brain and nervous system responsible for regulating the body’s temperature. Their release causes a rise in the body’s temperature. One theory is that in certain people, high levels of cytokines may temporarily ‘scramble’ the workings of the brain and nervous system, triggering a seizure.",,"In many cases, febrile seizures do not need to be treated, although care should be taken to deal with a seizure as it happens."
Feeling of something in your throat (Globus),different people describe globus differently it may be felt as if you feel something sticking in your throat but can eat and drink normally and without pain you do not need to worry your symptoms may,,,"There are a number of things you can do to try to relieve globus symptoms. In most people, symptoms will get better following these self-help tips. However, for some people symptoms can recur off and on for several months. Smoking causes irritation to your throat. By stopping smoking, you can help to improve your globus symptoms. Further information on stopping smoking Try not to clear your throat as this can make your globus sensation worse. Try sipping water instead. Losing any excess weight may reduce your symptoms. Stress can increase your globus sensation. If you think you might be stressed, try to relax in a way that is doable for you and your situation.Breathing and relaxation exercisescan sometimes help. If you feel you need further help with managing stress, your GP can discuss this with you. Further information about relieving stress"
Fibroids,many people don t know that they have fibroids because they don t have any symptoms this is nothing to worry about if your doctor thinks you might have fibroids they ll usually refer you for anultrasound scanto confirm the diagnosis you can use ourmenstrual health symptom questionnaire pdf 421kb to keep a note of your symptomsand how you re feeling you can print it and talk about it with your healthcare professional to help them understand the different symptoms you re experiencing,,,"Fibroids will often shrink after the menopause, as hormone levels in your body change. If you have fibroids, but you’re not affected by any symptoms then you don’t need treatment. However, if you do have symptoms, your doctor can recommend the right treatment for you. Treatment options include: Your doctor will discuss these treatments with you and you can ask anyquestions that you might have."
Fibromyalgia,the main symptom of fibromyalgia is widespread pain that might feel like the pain is likely to be continuous but it might be better or more severe at different times as well as widespread pain people with fibromyalgia might also have watch flippin pain s flippin fibromyalgia webinar to learn more about fibromyalgia,"It’s not clear why some people develop fibromyalgia. The exact cause is unknown, but it’s likely that many factors are involved. Your brain, nerves and spinal cord make up your central nervous system. Changes in the way your central nervous system sends and receives information to your body might cause fibromyalgia. Fibromyalgia is a type of chronic pain. Read more about chronic pain Some people are more likely than others to develop fibromyalgia because of the genes inherited (passed on) from their parents. Fibromyalgia is often triggered by a stressful event. This might be a physically stressful event or an emotionally (psychologically) stressful event. Possible triggers of fibromyalgia might be: Sometimes there isn’t an obvious trigger.",,"Fibromyalgia is a long term (chronic) condition. There’s no cure for fibromyalgia. But there are treatments to help relieve some of the symptoms. This can make the condition easier to live with. Traditional treatments like pain medication aren’t always helpful for people with fibromyalgia. Learning about your condition and finding the best self management approaches for you is the best way to manage it. A healthcare professional can help you explore your options. Exercise, movement and activity can be helpful way to manage pain. A physiotherapist can help you to develop self-management skills to reduce the impact of pain on your life. They might help you create a tailored exercise programme suited to your needs, abilities and goals. Physiotherapy can also help prevent further loss of strength and increase your fitness. Pain management movement videos Visit theliving with chronic pain pagefor more information about exercise and relaxation techniques. Occupational therapy can help you manage your everyday activities around fibromyalgia. The aim is to do this without increasing your pain or overwhelming yourself. Your occupational therapist may suggest new ways to do things. They may be able to support you to continue to work, if you want to. Access to Workhas information on how to get or stay in work if you have a health condition or disability. Some pain clinics offer pain management programmes run by a team of specialists. These specialists can include physiotherapists and psychologists. They can provide support to develop coping skills and manage your activity levels. Speak to your GP if you think you’d benefit from a pain management programme. Talking therapies can help you manage the stress of living with fibromyalgia. Examples of talking therapies are: Medication can’t cure fibromyalgia but it can help reduce some symptoms. Speak to your GP or pain specialist to find out the potential benefits and risks. Your GP will likely suggest you try exercise, CBT and physiotherapy first. This is because these treatments are more likely to help. Antidepressantscan help some people with fibromyalgia. They help: This can be useful even if you haven’t been diagnosed with depression. Other medications can be used for the treatment of fibromyalgia symptoms, but they’re likely to be less effective. Speak to your GP, pharmacist or healthcare professional if you’re taking medication and you don’t feel its helping."
Flu,some of the main symptoms of flu include the symptoms are similar for children they may also get pain in their ear and be less active the symptoms of flu usually develop 1 to 3 days after becoming infected most people will feel better within a week but you may have a lingering cough and still feel very tired for a few more weeks,,,"If you have flu, there are things you can do to help you recover more quickly."
Food allergy,the symptoms of a food allergy almost always develop a few seconds or minutes after eating the food some people may develop a severe allergic reaction anaphylaxis which can be life threatening the most common type of allergic reaction to food is known as an ige mediated food allergy symptoms include,"Food allergies happen when the immune system – the body’s defence against infection – mistakenly treats proteins found in food as a threat. As a result, a number of chemicals are released. It’s these chemicals that cause the symptoms of an allergic reaction. Almost any food can cause an allergic reaction, but there are certain foods that are responsible for most food allergies. In children, the foods that most commonly cause an allergic reaction are: Most children that have a food allergy will have experiencedeczemaduring infancy. The worse the child’s eczema and the earlier it started, the more likely they are to have a food allergy. In adults, the foods that most commonly cause an allergic reaction are: It’s still unknown why people develop allergies to food, although they often have other allergic conditions, such asasthma,hay feverand eczema. Read more information about thecauses and risk factors for food allergies A food allergy is caused by your immune system handling harmless proteins in certain foods as a threat. It releases a number of chemicals, which trigger an allergic reaction.",,"The best way of preventing an allergic reaction is to identify the food that causes the allergy and avoid it. Research is currently looking at ways to desensitise some food allergens, such as peanuts and milk, but this is not an established treatment. Read more aboutidentifying foods that cause allergies (allergens) Avoid making any radical changes, such as cutting out dairy products, to your or your child’s diet without first talking to your GP. For some foods, such as milk, you may need to speak to a dietitian before making any changes. A type of medication called anantihistaminecan help relieve the symptoms of a mild or moderate allergic reaction. A higher dose of antihistamine is often needed to control acute allergic symptoms. Adrenaline is an effective treatment for more severe allergic symptoms, such as anaphylaxis. People with a food allergy are often given a device known as an auto-injector pen, which contains doses of adrenaline that can be used in emergencies. Read more about thetreatment of food allergies If you think you or your child may have a food allergy, it’s very important to ask for a professional diagnosis from your GP. They can then refer you to an allergy clinic if appropriate. Many parents mistakenly assume their child has a food allergy when their symptoms are actually caused by a completely different condition. Commercial allergy testing kits are available, but using them isn’t recommended. Many kits are based on unsound scientific principles. Even if they’re reliable, you should have the results looked at by a health professional. Read more aboutdiagnosing food allergies There are two main types of medication that can be used to relieve the symptoms of an allergic reaction to foods:"
Food poisoning,symptoms of food poisoning include the symptoms of food poisoning usually begin within 1 to 2 days of eating contaminated food they can also start a few hours later or several weeks later,,,
Frozen shoulder,pain and persistent stiffness in the shoulder joint are the two main symptoms of a frozen shoulder this makes it painful and difficult to carry out the full range of normal shoulder movements you may find it difficult to perform everyday tasks such as symptoms vary from mild with little difference to daily activities to severe where it may not be possible to move your shoulder at all,"Frozen shoulder occurs when the flexible tissue that surrounds the shoulder joint, known as the capsule, becomes inflamed and thickened. It’s not fully understood why this process happens. This can happen in one or both shoulders. This condition can appear without any apparent reason, however, your risk of developing a frozen shoulder can increase if you have:",,"Treatment options depend on the severity of your symptoms. Although, most cases improve on their own, some cases can take over a year to resolve. During the painful phase the emphasis is on pain relief. Pain medication can help you move more comfortably, which can help your recovery. More abouttaking painkillers. It may also help to use heat or ice packs. Exercise Targeted shoulder exercises to encourage movement, stretching and strengthening exercises can help to improve your arm movement and pain. The British Elbow and Shoulder Society havea video with specific exercises to help with a frozen shoulder. Stop these exercises if they make your symptoms worse, or if they cause new pain. If your shoulder pain worsens while following this advice, it’s a good idea totalk to a healthcare professionalabout your symptoms. Corticosteroid Injections If painkillers aren’t helping to control the pain, your healthcare professional may discuss the option of having a corticosteroid injection into your shoulder joint. Corticosteroids are medicines that help reduce pain and inflammation. They may also be given with alocal anaesthetic. Injections won’t cure your condition or reduce shoulder stiffness, they are used to help with the pain. Read more about corticosteroids"
Functional neurological disorder (FND),fnd can have many symptoms that can vary from person to person some people may have few symptoms and some people may have many a diagnosis of fnd should be made because you have one or more clinical features that a specialist can recognise as typical of fnd it shouldn t be made just because scans or tests for other neurological conditions that have similar symptoms are normal there are other symptoms or conditions that are commonly associated with fnd these include,"We know that the symptoms of FND happen because there’s a problem with how the brain is sending and receiving messages to itself and other parts of the body. Using research tools, scientists can see that certain circuits in the brain are not working properly in people with FND. However, there’s still a lot of research to be done to understand how and why FND happens. FND can happen for a wide range of reasons. There’s often more than one reason, and the reasons can vary hugely from person to person. Some of the reasons why the brain stops working properly in FND include: In some people, stressful events in the past or present can be relevant to FND. Psychological conditions like PTSD, depression or anxiety can also be relevant. In other people, these things are not relevant. The risk of developing FND increases if you have another neurological condition. It may also increase if you have a condition likeautismorattention deficit hyperactivity disorder (ADHD).",,"FND is a really variable condition. Some people have quite short-lived symptoms. Others can have them for many years. There are treatments available that can manage and improve FND. These treatments are all forms of rehabilitation therapy, which aims to improve your ability to carry out every day activities. Many of these treatments are designed to ‘retrain the brain’. Some people with FND benefit a lot from treatment and may go into remission. Other people continue to have FND symptoms despite treatment. Read more about treating FND"
Fungal nail infection,a fungal nail infection often affects the toenails but it can happen on the fingernails too the infection develops slowly it usually starts at the edge of the nail before spreading to the rest of the nail the infection can make the nail sometimes the whole nail can break off which may cause the skin around it to become painful and swollen the following images were sourced fromdermnetnz org,"Most fungal nail infections are caused by a fungus that causes athlete’s foot. This fungus can multiply in warm, dark and moist places like the feet. This leads to infections. You’re more likely to get a fungal nail infection if:",,"A fungal nail infection is unlikely to get better without treatment. However, treatments can take a long time and can sometimes cause side effects. A pharmacist may suggest an antifungal nail medicine that you brush onto the nail. You’ll need to use this regularly for a few months before you start to see an improvement. You should keep using the treatment until you’re told to stop. Stopping too early could cause the infection to return. If treatments from a pharmacy don’t work, your GP may prescribe antifungal tablets. Before starting treatment, your GP will take a sample of your nail to test what kind of infection you have. Your GP may also need to do a blood test before and during your treatment. This is to check that your liver is working properly. You may need to take antifungal tablets for up to 6 months. The tablets can have side effects including: You can’t take antifungal tablets if you have certain conditions. This includes liver or kidney disease. They may also be unsuitable if you’re pregnant or breastfeeding. Sometimes badly infected nails need to be removed. This is a small procedure that’s done while the area is numbed underlocal anaesthetic."
Gallbladder cancer,in the early stages gallbladder cancer doesn t cause symptoms which means it could be at an advanced stage by the time it s diagnosed symptoms that occur at a later stage can include these symptoms could be linked to a number of conditions and may not be related to gallbladder cancer however if you have these symptoms you should speak to your gp so they can investigate what s causing them other possible symptoms of gallbladder cancer can include loss of appetite unexplained weight loss and a swollen stomach,"In gallbladder cancer, abnormal cells grow within the gallbladder. It’s not known why this happens, but certain things are thought to increase your chances of developing the condition. Gallbladder cancer is more common in older people, and your chances of developing it increase with age. Lifestyle factors – such asobesity, smoking and an unhealthy diet – are believed to increase the risk of gallbladder cancer. However, there’s not enough evidence to show a firm link between diet and gallbladder cancer. There are also a number of conditions that can increase your chances of developing gallbladder cancer. For example,gallstones, cholecystitis (inflammation of the gallbladder) anddiabeteshave been closely linked to the condition. If you have a family history of gallstones, cholecystitis, or gallbladder cancer, you’re more likely to develop these conditions yourself. TheCancer Research UKwebsite has more information about therisks and causes of gallbladder cancer.",,"The main treatment for gallbladder cancer is surgery to remove the gallbladder and possibly some of the surrounding tissue. Chemotherapyandradiotherapyare also sometimes used, either on their own or in combination with surgery. The treatment programme that’s most suitable for you will depend on: As with all cancers, the chances of survival depend on how far the condition has advanced when it is diagnosed. TheCancer Research UKwebsite has more information abouttreating gallbladder cancerand thestages and outlook for gallbladder cancer."
Gallstones,most cases of gallstones don t cause any symptoms but if a gallstone blocks one of the bile ducts it can cause sudden severe abdominal pain known as biliary colic other symptoms may develop if the blockage is more severe or develops in another part of the digestive system in a small number of people gallstones can cause more serious problems if they obstruct the flow of bile for longer periods or move into other organs such as the pancreas or small bowel if this happens you may develop doctors refer to this more severe condition as complicated gallstone disease read more about thecomplications of gallstones,"Gallstones are thought to develop because of an imbalance in the chemical make-up of bile inside the gallbladder. In most cases the levels of cholesterol in bile become too high and the excess cholesterol forms into stones. Gallstones are very common. It’s estimated that more than 1 in every 10 adults in the UK has gallstones, although only a minority of people develop symptoms. You’re more at risk of developing gallstones if you’re: Read more about: Gallstones are thought to be caused by an imbalance in the chemical make-up of bile inside the gallbladder. Bile is a liquid produced by the liver to aid digestion. It’s still unclear exactly what leads to this imbalance, but gallstones can form if: These chemical imbalances cause tiny crystals to develop in the bile. These can gradually grow (often over many years) into solid stones that can be as small as a grain of sand or as large as a pebble. Sometimes only 1 stone will form, but there are often several at the same time.",,"Your treatment plan for gallstones depends on how the symptoms are affecting your daily life. If you don’t have any symptoms, a policy of ‘active monitoring’ is often recommended. This means you won’t receive immediate treatment, but you should let your GP know if you notice any symptoms. As a general rule, the longer you go without symptoms, the less likely it is that your condition will get worse. You may need treatment if you have a condition that increases your risk of developing complications, such as: Treatment may also be recommended if a scan shows high levels of calcium inside your gallbladder, as this can lead togallbladder cancerin later life. If you have episodes of abdominal pain (biliary colic), treatment depends on how the pain affects your daily activities. If the episodes are mild and infrequent, you may be prescribed painkillers to control further episodes and given advice about eating a healthy diet to help control the pain. If your symptoms are more severe and occur frequently, surgery to remove the gallbladder is usually recommended. The gallbladder isn’t an essential organ and you can lead a perfectly normal life without one. Some people may experience symptoms of bloating and diarrhoea after eating fatty or spicy food. If certain foods do trigger symptoms, you may wish to avoid them in the future."
Ganglion cyst,if you have a ganglion cyst the swelling can become noticeable but often there are no other symptoms sometimes a ganglion can cause pain and limit movement in your joint the pain is usually caused by pressure being applied to the ganglion some people are also concerned about the cyst s appearance most symptoms settle with time,A ganglion cyst starts when the fluid from a joint or tendon collects and forms a jelly-filled sac beneath the skin. It’s not known why this happens but they can be common. Ganglion cysts can form:,,"Most ganglion cysts disappear on their own, without treatment. In the early stages, you should wait to see if this happens. Pain may be related to the pressure being applied to the ganglion. You could adapt your hand position for activities to see if that helps. It’s important to use your hand or foot as normally as you can to avoid the area getting stiff or weak. Your healthcare professional may consider aspiration of the ganglion cyst, if appropriate. It’s a procedure where they will remove fluid from the ganglion with a needle and syringe. You may be referred for surgery if the ganglion is causing significant pain or affects function. The surgery may be carried out under eitherlocal or general anaesthetic. As with any surgery there are associated risks. Your healthcare professional will discuss these with you. After any treatment, there’s a possibility the ganglion may come back."
Gastroenteritis,the main symptoms of gastroenteritis are some people also have other symptoms such as a loss of appetite anupset stomach aching limbs and headaches the symptoms usually appear up to a day after becoming infected they typically last less than a week but can sometimes last longer,,,
Gastro-oesophageal reflux disease (GORD),the main symptoms of gastro oesophageal reflux disease gord are heartburn and acid reflux if you have gord you may also experience if you also haveasthma the symptoms may get worse as a result of stomach acid irritating your airways,"Gastro-oesophageal reflux disease (GORD) is usually caused by the ring of muscle at the bottom of the oesophagus (gullet) becoming weakened. Normally, this ring of muscle opens to let food into your stomach and closes to stop stomach acid leaking back up into your oesophagus. But for people with GORD, stomach acid is able to pass back up into the oesophagus. This causessymptoms of GORD, which can include heartburn and acid reflux. It’s not always clear what causes this ring of muscle to become weakened, but certain things can increase the risk of it happening.",,"The main treatments for GORD are: You may only need to take medication when you experience symptoms, although long-term treatment may be needed if the problem continues. Surgery to stop stomach acid leaking into your oesophagus may be recommended if medication isn’t helping, or you don’t want to take medication on a long-term basis. Read more about thetreatments for GORD. Heartburn and gastro-oesophageal reflux disease (GORD) can often be treated with self-help measures and over-the-counter medicines. If these don’t help, your GP can prescribe stronger medication or refer you to a specialist to discuss whether surgery may be an option."
Generalised anxiety disorder (GAD),gad can cause a change in your behaviour and the way you think and feel about things it can also cause physical changes this results in symptoms like your symptoms may cause you to withdraw from social contact to avoid feelings of worry and dread you may also find going to work difficult and stressful and may take time off sick this can make you worry even more about yourself and increase your lack of self esteem watch more videos of people talking about how they cope with anxiety,"The exact cause of GAD is not fully understood. It’s likely that a combination of several factors plays a role, like: However, many people develop GAD for no obvious reason.",,"GAD can have a significant effect on your daily life. There are several different treatments available that can help. These include: There are also many things you can do yourself to help reduce your anxiety, like: With treatment, many people are able to control their levels of anxiety. Some treatments may need to be continued for a long time. There may be periods where your symptoms worsen. Our mental health self-help guides are based onCognitive Behavioural Therapy (CBT). They’ve proven highly successful in helping people with anxiety and other mental health issues. Daylight is a digital programme to improve anxiety based on Cognitive Behavioural Therapy (CBT). It’s clinically proven to help people improve their anxiety symptoms by using it for just a few minutes each day. You can use Daylight via the app for iOS and Android devices. Sign up for Daylight Support groups can give you useful advice about how to manage your anxiety. They’re also a good way to meet other people with similar experiences. Examples of support groups you may find useful include: Support groups can often arrange face-to-face meetings, where you can talk about your feelings with other people. Many support groups also provide support and guidance online, over the phone or in writing. Ask your GP about local support groups for anxiety in your area. Or searchScotland Service Directory for mental health informationand support services near you. If treatments you’ve tried aren’t helping, you may want to discuss with your GP whether you should be referred to a mental health specialist. You’ll usually be referred to your community mental health team. These teams include a range of specialists, including: A mental health specialist will carry out a reassessment of your condition. They’ll ask you about your previous treatment and how effective you found it. Your specialist will then be able to devise a treatment plan for you. As part of this plan, you may be offered a treatment you’ve not tried before. Or you may be offered a combination of apsychological treatmentwith medication."
Genital herpes,most people with the herpes virus don t notice any symptoms and don t know they have it so it s important to get tested if you think you re infected if you do get symptoms it takes usually 2 to 12 days after contact for them to appear some people don t get symptoms until months or sometimes years later once you have the herpes infection the virus stays in your body it can lie dormant for long periods but can reactivate in the area that was originally infected if this happens the sores and blisters can reappear this is known as a recurrent episode of genital herpes this first episode of genital herpes may last from 2 to 4 weeks repeated episodes are not usually as severe or long as the first and you may never have a repeat episode symptoms of the first infection include if you have a recurrent infection your symptoms may include,,,"Genital herpes can be treated with antiviral medication. The symptoms of genital herpes can be treated, although it could keep coming back. Symptoms of recurrent genital herpes will usually clear up without any treatment. Some people experience recurrences of genital herpes. In these cases, a longer course of tablets should stop any recurrent episodes. You can talk to your GP or nurse about which treatment options are right for you. As there’s no screening test for herpes, partners should only have a test if they also have symptoms."
Genital warts,it can take a few weeks or months for genital warts to appear after becoming infected genital warts are usually small rough lumps on the skin they can appear genital warts may they don t usually cause symptoms but can sometimes be painful itchy or bleed,,,"Treatment for genital warts is not always needed. They sometimes disappear on their own within 6 months. If treatment is recommended, it’ll be prescribed by your doctor. Your doctor or nurse may advise you to avoid sex while you’re having treatment for genital warts. The type of treatment you’ll be offered depends on what your warts are like. Your doctor or nurse will discuss this with you. Treatment options include: You can usually apply this to the warts yourself a few times a week for several weeks. A doctor or nurse freezes the warts with liquid nitrogen, usually every week for 4 weeks. A doctor or nurse can cut or burn the warts off. This is usually only recommended if the warts are not responding or are too large for cream or freezing. Side effects of these treatments include:"
